topic,count,keywords
-1,678,
0,706,花园酒店、瀑布、博物馆、酒廊、荔湾、行政 酒廊、办理、老牌、舒适、五星
1,145,瀑布、花园酒店、瀑布 餐厅、博物馆、后花园、泳池、超级、整洁、充电、套房
2,68,卫生 干净、舒适、有点、卫生间、房型、交通、干净 环境、服务 服务、整洁、唯一
3,59,浴缸、房卡、然后、晚上、办理、等待、信息、再次、沟通、打电话
4,58,viria、kamille、前台 viria、舒适、帮忙、舒服、winnie、价格、小姐姐 服务、尤其
5,51,春节、过年、期间、活动、春节 期间、气氛、氛围、舞狮、过年 期间、热闹
6,45,地铁站、出行 方便、出来、地铁、地理位置、出来 就是、交通、地铁口、出门、附近
7,44,丰富、品种、餐厅 早餐、舒服、早餐 品种、味道、旋转、瀑布、服务 早餐、旋转 餐厅
8,43,服务 贴心、特别 服务、外国、老牌、虽然、很漂亮、一次 体验、满意 一次、不愧、周到
9,39,五星、老牌 五星、老牌、五星级、有点、美食、老牌 五星级、虽然、选择 老牌、出门
10,38,betty、前台 betty、前台 小姐姐、接待 前台、接待、周到、kasas、kiki、套房、专业
11,35,红棉、红棉 大床、大床、套餐、红棉 套房、红棉 双床、双床、很大、升级 红棉、瀑布 餐厅
12,31,套房、前台 小姐姐、升级 套房、升房、房型、有点、联系、前台 服务、提前、免费
13,30,花园酒店、员工、礼宾、惊喜、感受、主动、安排、得知、经理、专业
14,30,行政 酒廊、酒廊、carrie、酒廊 carrie、精致、下午茶、服务 贴心、欢乐 时光、欢乐、时光
15,26,客房、环境 不错、服务 不错、接待、服务 环境、前台 服务、前台 接待、每天、感谢、服务 人员
16,24,金五星、不愧、不愧 金五星、五星、白金、回答、金五星 设施、老牌、提升、行政 酒廊
17,21,金卡、房型、会员、酒廊、行政 酒廊、欢迎、一般、铂金、礼遇、使用
