k,inertia,silhouette
2,728.13232421875,0.10285935550928116
3,708.1318969726562,0.08197396993637085
4,694.0231323242188,0.08343195170164108
5,682.0934448242188,0.08451450616121292
6,672.8837890625,0.08129522949457169
7,664.5225219726562,0.0611807145178318
8,656.586669921875,0.06292914599180222
9,651.6214599609375,0.06338901817798615
10,647.254150390625,0.05736999586224556
11,643.7781372070312,0.06353259086608887
12,639.8551025390625,0.05466398596763611
13,635.7118530273438,0.04045794531702995
14,632.4972534179688,0.04682786762714386
15,628.6480712890625,0.04716068133711815
